raw_file	condition	sample	time	replicate	color
H..A2780_Nor.Cis_pSILAC_20181104.20181024_A2780_pSILAC_Cis_1h_1.raw	Cis	Cis_1	1	1	red
H..A2780_Nor.Cis_pSILAC_20181104.20181024_A2780_pSILAC_Cis_1h_2.raw	Cis	Cis_2	1	1	red
H..A2780_Nor.Cis_pSILAC_20181104.20181024_A2780_pSILAC_Cis_1h_3.raw	Cis	Cis_3	1	1	red
H..A2780_Nor.Cis_pSILAC_20181104.20181024_A2780_pSILAC_Cis_4h_1.raw	Cis	Cis_1	4	1	red
H..A2780_Nor.Cis_pSILAC_20181104.20181024_A2780_pSILAC_Cis_4h_2.raw	Cis	Cis_2	4	1	red
H..A2780_Nor.Cis_pSILAC_20181104.20181024_A2780_pSILAC_Cis_4h_3.raw	Cis	Cis_3	4	1	red
H..A2780_Nor.Cis_pSILAC_20181104.20181024_A2780_pSILAC_Cis_8h_1.raw	Cis	Cis_1	8	1	red
H..A2780_Nor.Cis_pSILAC_20181104.20181024_A2780_pSILAC_Cis_8h_2.raw	Cis	Cis_2	8	1	red
H..A2780_Nor.Cis_pSILAC_20181104.20181024_A2780_pSILAC_Cis_8h_3.raw	Cis	Cis_3	8	1	red
H..A2780_Nor.Cis_pSILAC_20181104.20181024_A2780_pSILAC_Cis_12h_1.raw	Cis	Cis_1	12	1	red
H..A2780_Nor.Cis_pSILAC_20181104.20181024_A2780_pSILAC_Cis_12h_2.raw	Cis	Cis_2	12	1	red
H..A2780_Nor.Cis_pSILAC_20181104.20181024_A2780_pSILAC_Cis_12h_3.raw	Cis	Cis_3	12	1	red
H..A2780_Nor.Cis_pSILAC_20181104.20181024_A2780_pSILAC_Nor_1h_1.raw	Nor	Nor_1	1	1	blue
H..A2780_Nor.Cis_pSILAC_20181104.20181024_A2780_pSILAC_Nor_1h_2.raw	Nor	Nor_2	1	1	blue
H..A2780_Nor.Cis_pSILAC_20181104.20181024_A2780_pSILAC_Nor_1h_3.raw	Nor	Nor_3	1	1	blue
H..A2780_Nor.Cis_pSILAC_20181104.20181024_A2780_pSILAC_Nor_4h_1.raw	Nor	Nor_1	4	1	blue
H..A2780_Nor.Cis_pSILAC_20181104.20181024_A2780_pSILAC_Nor_4h_2.raw	Nor	Nor_2	4	1	blue
H..A2780_Nor.Cis_pSILAC_20181104.20181024_A2780_pSILAC_Nor_4h_3.raw	Nor	Nor_3	4	1	blue
H..A2780_Nor.Cis_pSILAC_20181104.20181024_A2780_pSILAC_Nor_8h_1.raw	Nor	Nor_1	8	1	blue
H..A2780_Nor.Cis_pSILAC_20181104.20181024_A2780_pSILAC_Nor_8h_2.raw	Nor	Nor_2	8	1	blue
H..A2780_Nor.Cis_pSILAC_20181104.20181024_A2780_pSILAC_Nor_8h_3.raw	Nor	Nor_3	8	1	blue
H..A2780_Nor.Cis_pSILAC_20181104.20181024_A2780_pSILAC_Nor_12h_1.raw	Nor	Nor_1	12	1	blue
H..A2780_Nor.Cis_pSILAC_20181104.20181024_A2780_pSILAC_Nor_12h_2.raw	Nor	Nor_2	12	1	blue
H..A2780_Nor.Cis_pSILAC_20181104.20181024_A2780_pSILAC_Nor_12h_3.raw	Nor	Nor_3	12	1	blue
